id,categoriaActual,descripcion,unidad,rubroPropuesto,subrubroPropuesto,tipoIntervencionPropuesto,sistemaConstructivoPropuesto,alcancePropuesto,especialidadPropuesta,confianza,requiereRevisionHumana,observacion
32,Metalcon NC,Techumbre Metalcon C150 + policarbonato,m²,Construcción liviana,Cubiertas y techumbres,Obra nueva,Policarbonato,Suministro e instalación,Construcción en seco (steel framing / madera),alta,false,
33,Metalcon Mant.,Cambio zinc ondulado estructura Metalcon,m²,Techumbres y aguas lluvias,Metalcon Mant.,Reposición,Zinc,Suministro e instalación,Techumbres,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
35,Metalcon NC,Cielo yeso cartón 1 placa Metalcon,m²,Cielos y terminaciones,Cielos,Obra nueva,Metalcon (acero galvanizado liviano),Suministro e instalación,Terminaciones,alta,false,Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados).
36,Metalcon NC,Cielo yeso cartón doble placa Metalcon,m²,Cielos y terminaciones,Cielos,Obra nueva,Metalcon (acero galvanizado liviano),Suministro e instalación,Terminaciones,alta,false,Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados).
37,Metalcon NC,Cielo yeso RH (humedad) baño/cocina,m²,Cielos y terminaciones,Cielos,Obra nueva,Metalcon (acero galvanizado liviano),Suministro e instalación,Terminaciones,alta,false,Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados).
38,Metalcon Rem.,Ampliación cielo yeso en remodelación,m²,Construcción liviana,Cielos,Ampliación,Metalcon (acero galvanizado liviano),Suministro e instalación,Construcción en seco (steel framing / madera),alta,false,
40,Madera NC,Techumbre cerchas pino 1x4 + correas + zinc 0.35,m²,Construcción liviana,Cubiertas y techumbres,Obra nueva,Zinc,Suministro e instalación,Construcción en seco (steel framing / madera),alta,false,
41,Madera NC,Techumbre cerchas pino 1x4 + correas + zinc 0.5,m²,Construcción liviana,Cubiertas y techumbres,Obra nueva,Zinc,Suministro e instalación,Construcción en seco (steel framing / madera),alta,false,
42,Madera NC,Techumbre correas pino 2x3 + zinc 0.35 (simple),m²,Construcción liviana,Cubiertas y techumbres,Obra nueva,Zinc,Suministro e instalación,Construcción en seco (steel framing / madera),alta,false,
43,Madera Mant.,Cambio zinc ondulado estructura madera,m²,Techumbres y aguas lluvias,Madera Mant.,Reposición,Zinc,Suministro e instalación,Techumbres,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
44,Madera Mant.,Reparación cercha pino (parcial),unidad,Techumbres y aguas lluvias,Madera Mant.,Reparación,Madera,Suministro e instalación,Techumbres,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
45,Madera NC,Tabique madera pino 2x4 + OSB + lana,m²,Construcción liviana,Tabiquería,Obra nueva,Madera,Suministro e instalación,Construcción en seco (steel framing / madera),alta,false,
46,Madera NC,Tabique madera pino 2x3 + volcanita,m²,Construcción liviana,Tabiquería,Obra nueva,Madera,Suministro e instalación,Construcción en seco (steel framing / madera),alta,false,
47,Madera NC,Cielo madera terciado 9mm,m²,Cielos y terminaciones,Cielos,Obra nueva,Madera,Suministro e instalación,Terminaciones,alta,false,Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados).
48,Madera NC,Cielo madera volcanita sobre correas pino,m²,Cielos y terminaciones,Cielos,Obra nueva,Madera,Suministro e instalación,Terminaciones,alta,false,Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados).
50,Impermeable,Cubierta membrana asfáltica 4mm (terraza plana),m²,Impermeabilización,Cubiertas y techumbres,Obra nueva,No aplica / mixto,Suministro e instalación,Impermeabilización,alta,false,
51,Impermeable,Repaso impermeabilizante cubierta plana,m²,Impermeabilización,Cubiertas y techumbres,Obra nueva,No aplica / mixto,Suministro e instalación,Impermeabilización,alta,false,
52,Impermeable,Sellado fisuras muro exterior,ml,Impermeabilización,Impermeabilización,Obra nueva,No aplica / mixto,Suministro e instalación,Impermeabilización,alta,false,
53,Impermeable,Impermeabilización fundación cristalizante,m²,Impermeabilización,Hormigón estructural,Obra nueva,No aplica / mixto,Suministro e instalación,Impermeabilización,alta,false,
60,Pisos,Cerámico piso 45x45cm,m²,Pisos y revestimientos,Pisos,Obra nueva,Cerámico,Suministro e instalación,Terminaciones,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
61,Pisos,Porcelanato 60x60cm,m²,Pisos y revestimientos,Pisos,Obra nueva,Cerámico,Suministro e instalación,Terminaciones,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
62,Pisos,Piso flotante laminado AC4,m²,Pisos y revestimientos,Pisos,Obra nueva,No aplica / mixto,Suministro e instalación,Terminaciones,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
63,Pisos,Cerámico muro ducha 30x60cm,m²,Pisos y revestimientos,Pisos,Obra nueva,Cerámico,Suministro e instalación,Terminaciones,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
64,Pisos,Cambio cerámico piso (inc. retiro),m²,Pisos y revestimientos,Pisos,Reposición,Cerámico,Suministro e instalación,Terminaciones,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
65,Pisos,Cambio piso flotante (inc. retiro),m²,Pisos y revestimientos,Pisos,Reposición,No aplica / mixto,Suministro e instalación,Terminaciones,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
66,Pisos,Reparación cerámico pisos/sócalos,gl,Pisos y revestimientos,Pisos,Reparación,Cerámico,Subcontrato,Terminaciones,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
67,Pisos,Reparación cerámico muros,gl,Pisos y revestimientos,Pisos,Reparación,Cerámico,Subcontrato,Terminaciones,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
70,Carpintería,Puerta interior HDF 80x200cm + marcos,unidad,"Puertas, ventanas y carpinterías",Puertas,Obra nueva,No aplica / mixto,Suministro e instalación,Carpintería / cerrajería,alta,false,
71,Carpintería,Puerta exterior madera sólida 90x200cm,unidad,"Puertas, ventanas y carpinterías",Puertas,Obra nueva,No aplica / mixto,Suministro e instalación,Carpintería / cerrajería,alta,false,
72,Carpintería,Ventana PVC corredera 100x100cm,unidad,"Puertas, ventanas y carpinterías",Ventanas,Obra nueva,PVC,Suministro e instalación,Carpintería / cerrajería,alta,false,
73,Carpintería,Ventana PVC termopanel 100x100cm,unidad,"Puertas, ventanas y carpinterías",Ventanas,Obra nueva,PVC,Suministro e instalación,Carpintería / cerrajería,alta,false,
74,Carpintería,Cambio ventana PVC (inc. retiro old),unidad,"Puertas, ventanas y carpinterías",Ventanas,Reposición,PVC,Suministro e instalación,Carpintería / cerrajería,alta,false,
75,Carpintería,Reparación muebles cocina,gl,"Puertas, ventanas y carpinterías",Mobiliario y equipamiento,Reparación,No aplica / mixto,Subcontrato,Carpintería / cerrajería,alta,false,
76,Carpintería,Cornisas perfil MDF,ml,"Puertas, ventanas y carpinterías",Carpintería,Obra nueva,No aplica / mixto,Suministro e instalación,Carpintería / cerrajería,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
77,Carpintería,Guardapolvos MDF,ml,"Puertas, ventanas y carpinterías",Carpintería,Obra nueva,No aplica / mixto,Suministro e instalación,Carpintería / cerrajería,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
80,Eléctrica,Punto de luz (foco LED empotrado),unidad,Instalaciones eléctricas,Iluminación,Obra nueva,No aplica / mixto,Suministro e instalación,Ingeniería eléctrica,alta,false,
81,Eléctrica,Punto toma corriente triple 16A,unidad,Instalaciones eléctricas,Tomas e interruptores,Obra nueva,No aplica / mixto,Suministro e instalación,Ingeniería eléctrica,alta,false,
82,Eléctrica,Punto eléctrico completo (luz + toma),unidad,Instalaciones eléctricas,Eléctrica,Obra nueva,No aplica / mixto,Suministro e instalación,Ingeniería eléctrica,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
83,Eléctrica,Tablero distribución 8 circuitos,unidad,Instalaciones eléctricas,Tableros y protecciones eléctricas,Obra nueva,No aplica / mixto,Suministro e instalación,Ingeniería eléctrica,alta,false,
84,Eléctrica,Instalación eléctrica completa vivienda 60m²,gl,Instalaciones eléctricas,Eléctrica,Obra nueva,No aplica / mixto,Subcontrato,Ingeniería eléctrica,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
85,Eléctrica,Cambio foco LED (mantención),unidad,Instalaciones eléctricas,Eléctrica,Reposición,No aplica / mixto,Suministro e instalación,Ingeniería eléctrica,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
86,Eléctrica,Reparación toma corriente (mantención),unidad,Instalaciones eléctricas,Tomas e interruptores,Reparación,No aplica / mixto,Suministro e instalación,Ingeniería eléctrica,alta,false,
90,Sanitario,Punto agua fría PPR 20mm,unidad,Instalaciones sanitarias,Agua potable,Obra nueva,PPR,Suministro e instalación,Ingeniería sanitaria,alta,false,
91,Sanitario,Punto agua caliente PPR 20mm,unidad,Instalaciones sanitarias,Agua potable,Obra nueva,PPR,Suministro e instalación,Ingeniería sanitaria,alta,false,
92,Sanitario,Instalación sanitaria completa baño,gl,Instalaciones sanitarias,Sanitario,Obra nueva,No aplica / mixto,Subcontrato,Ingeniería sanitaria,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
93,Sanitario,Artefactos sanitarios c/cubículos,unidad,Instalaciones sanitarias,Sanitario,Obra nueva,No aplica / mixto,Subcontrato,Ingeniería sanitaria,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
94,Sanitario,Cambio llave de paso (mantención),unidad,Instalaciones sanitarias,Sanitario,Reposición,No aplica / mixto,Suministro e instalación,Ingeniería sanitaria,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
95,Gas,Instalación gas 45KL (duchas y baño),unidad,Instalaciones de gas,Artefactos y grifería,Obra nueva,No aplica / mixto,Subcontrato,Gasfitería certificada,alta,false,
96,Gas,Instalación cilindros 45KL casino,unidad,Instalaciones de gas,Gas,Obra nueva,No aplica / mixto,Subcontrato,Gasfitería certificada,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
97,Gas,Sello verde y prueba hermeticidad,unidad,Instalaciones de gas,Pruebas y certificación de gas,Obra nueva,No aplica / mixto,Subcontrato,Gasfitería certificada,baja,true,Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados).
98,Gas,Gestión convenio Gasco,unidad,Servicios profesionales,Gestión y trámites con proveedor de gas,Servicio profesional,No aplica / mixto,Subcontrato,Servicios profesionales,baja,true,Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados).
100,Demolición,Demolición tabique (retiro escombros inc.),m²,Demoliciones y desmontajes,Tabiquería,Demolición,No aplica / mixto,Desmontaje y retiro,Construcción general,alta,false,
101,Demolición,Demolición cielo existente,m²,Demoliciones y desmontajes,Cielos,Demolición,No aplica / mixto,Desmontaje y retiro,Construcción general,alta,false,
102,Demolición,Demolición muro albañilería,m²,Demoliciones y desmontajes,Demoliciones,Demolición,No aplica / mixto,Desmontaje y retiro,Construcción general,alta,false,
103,Demolición,Demolición radier / solera,m²,Demoliciones y desmontajes,Pavimentos y vialidad,Demolición,No aplica / mixto,Desmontaje y retiro,Construcción general,alta,false,
105,Ojalaería,Canal PVC 3m + bajante (ml ojalaería),ml,Techumbres y aguas lluvias,Canales y bajantes (aguas lluvias),Obra nueva,PVC,Suministro e instalación,Techumbres,alta,false,Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados).
106,Ojalaería,Ojalaería completa (canal + bajante + tapasol),ml,Techumbres y aguas lluvias,Canales y bajantes (aguas lluvias),Obra nueva,No aplica / mixto,Suministro e instalación,Techumbres,alta,false,Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados).
107,Ojalaería,Cambio canal y bajante existente,ml,Techumbres y aguas lluvias,Canales y bajantes (aguas lluvias),Reposición,No aplica / mixto,Suministro e instalación,Techumbres,alta,false,Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados).
110,Regularización,Carpeta Seremi Salud,unidad,Servicios profesionales,Regularización y trámites,Regularización,No aplica / mixto,Subcontrato,Servicios profesionales,alta,false,Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados).
111,Regularización,Carpeta Registro Patentes,unidad,Servicios profesionales,Regularización y trámites,Regularización,No aplica / mixto,Subcontrato,Servicios profesionales,alta,false,Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados).
115,Varios,Reinstalación citófono,unidad,Corrientes débiles y seguridad electrónica,Citofonía / videoportero,Reposición,No aplica / mixto,Subcontrato,Electrónica / seguridad,media,true,"Categoría actual ""Varios"" es transitoria/catch-all; reclasificado a nivel de partida. Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados)."
116,Varios,Celosías y cambio de ventanas,unidad,"Puertas, ventanas y carpinterías",Ventanas,Reposición,No aplica / mixto,Subcontrato,Carpintería / cerrajería,baja,true,"Categoría actual ""Varios"" es transitoria/catch-all; reclasificado a nivel de partida. Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados)."
120,Estructuras Metálicas,Reja tubular (fabricación + instalación),m²,Estructuras metálicas,Cerrajería metálica,Obra nueva,Acero estructural,Fabricación e instalación,Ingeniería estructural / metalmecánica,alta,false,
121,Estructuras Metálicas,Protección ventana (fabricación + instalación),m²,Estructuras metálicas,Ventanas,Obra nueva,Acero estructural,Fabricación e instalación,Ingeniería estructural / metalmecánica,alta,false,
122,Estructuras Metálicas,Portón corredera (fabricación + instalación),m²,Estructuras metálicas,Estructuras Metálicas,Obra nueva,Acero estructural,Fabricación e instalación,Ingeniería estructural / metalmecánica,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
123,Estructuras Metálicas,Pilar tubular 100x100x3mm (fabricación + inst.),unidad,Estructuras metálicas,Hormigón estructural,Obra nueva,Acero estructural,Suministro e instalación,Ingeniería estructural / metalmecánica,alta,false,
124,Estructuras Metálicas,Cierre perimetral tubular c/malla (fab. + inst.),m²,Estructuras metálicas,Cierres y muros perimetrales,Obra nueva,Acero estructural,Fabricación e instalación,Ingeniería estructural / metalmecánica,alta,false,
125,Estructuras Metálicas,Escalera metálica recta (fabricación + inst.),ml,Estructuras metálicas,Cerrajería metálica,Obra nueva,Acero estructural,Suministro e instalación,Ingeniería estructural / metalmecánica,alta,false,
126,Estructuras Metálicas,Baranda / pasamanos metálico (fab. + inst.),ml,Estructuras metálicas,Cerrajería metálica,Obra nueva,Acero estructural,Fabricación e instalación,Ingeniería estructural / metalmecánica,alta,false,
127,Estructuras Metálicas,Portón abatible 2 hojas (fabricación + inst.),m²,Estructuras metálicas,Estructuras Metálicas,Obra nueva,Acero estructural,Suministro e instalación,Ingeniería estructural / metalmecánica,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
128,Estructuras Metálicas,Cobertizo / pérgola metálica (fab. + inst.),m²,Estructuras metálicas,Estructuras Metálicas,Obra nueva,Acero estructural,Fabricación e instalación,Ingeniería estructural / metalmecánica,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
129,Estructuras Metálicas,Marco metálico puerta / ventana (fab. + inst.),unidad,Estructuras metálicas,Ventanas,Obra nueva,Acero estructural,Fabricación e instalación,Ingeniería estructural / metalmecánica,alta,false,
130,Mov. de Tierras,Excavación manual fundaciones,m³,Movimiento de tierras,Movimiento de tierras,Obra nueva,No aplica / mixto,Suministro e instalación,Ingeniería civil — movimiento de tierras,alta,false,
131,Mov. de Tierras,Excavación mecánica (retroexcavadora),m³,Movimiento de tierras,Movimiento de tierras,Obra nueva,No aplica / mixto,Subcontrato,Ingeniería civil — movimiento de tierras,alta,false,
132,Mov. de Tierras,Relleno compactado material selecto,m³,Movimiento de tierras,Movimiento de tierras,Obra nueva,No aplica / mixto,Suministro e instalación,Ingeniería civil — movimiento de tierras,alta,false,
133,Mov. de Tierras,Nivelación y compactación terreno,m²,Movimiento de tierras,Movimiento de tierras,Obra nueva,No aplica / mixto,Suministro e instalación,Ingeniería civil — movimiento de tierras,alta,false,
134,Mov. de Tierras,Retiro y transporte de escombros,m³,Movimiento de tierras,Retiro y transporte de escombros,Desmontaje,No aplica / mixto,Subcontrato,Ingeniería civil — movimiento de tierras,alta,false,
135,Obras Exteriores,Vereda hormigón H-20 7cm,m²,Obras exteriores y urbanización,Pavimentos y vialidad,Obra nueva,Hormigón,Suministro e instalación,Urbanización,alta,false,
136,Obras Exteriores,Adoquín peatonal 6cm c/base granular,m²,Obras exteriores y urbanización,Pavimentos y vialidad,Obra nueva,No aplica / mixto,Suministro e instalación,Urbanización,alta,false,
137,Obras Exteriores,Solera prefabricada 15x30cm (inst.),ml,Obras exteriores y urbanización,Pavimentos y vialidad,Obra nueva,No aplica / mixto,Suministro e instalación,Urbanización,alta,false,
138,Obras Exteriores,Estacionamiento hormigón H-20 10cm,m²,Obras exteriores y urbanización,Pavimentos y vialidad,Obra nueva,Hormigón,Suministro e instalación,Urbanización,alta,false,
139,Obras Exteriores,Muro contención hormigón armado H-25,m²,Obras exteriores y urbanización,Obras Exteriores,Obra nueva,Hormigón armado,Subcontrato,Urbanización,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
140,Obras Exteriores,Cerco perimetral poste HEB c/cadena,ml,Obras exteriores y urbanización,Obras Exteriores,Obra nueva,Acero estructural,Subcontrato,Urbanización,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
141,Climatización,Inst. split 9.000 BTU frío/calor (subcontr.),unidad,Climatización y ventilación,Climatización,Obra nueva,No aplica / mixto,Subcontrato,Climatización (HVAC),alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
142,Climatización,Inst. split 12.000 BTU frío/calor (subcontr.),unidad,Climatización y ventilación,Climatización,Obra nueva,No aplica / mixto,Subcontrato,Climatización (HVAC),alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
143,Climatización,Inst. split 18.000 BTU frío/calor (subcontr.),unidad,Climatización y ventilación,Climatización,Obra nueva,No aplica / mixto,Subcontrato,Climatización (HVAC),alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
144,Climatización,Extractor / ventilador baño c/ducto (inst.),unidad,Climatización y ventilación,Climatización,Obra nueva,No aplica / mixto,Suministro e instalación,Climatización (HVAC),alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
145,Seguridad,Cámara CCTV IP 2MP exterior (instalación),punto,Corrientes débiles y seguridad electrónica,Seguridad electrónica,Obra nueva,No aplica / mixto,Suministro e instalación,Electrónica / seguridad,alta,false,
146,Seguridad,DVR 4 canales 1080p + disco 1TB (inst.),unidad,Corrientes débiles y seguridad electrónica,Seguridad electrónica,Obra nueva,No aplica / mixto,Suministro e instalación,Electrónica / seguridad,alta,false,
147,Seguridad,Alarma domiciliaria básica (inst.),unidad,Corrientes débiles y seguridad electrónica,Seguridad electrónica,Obra nueva,No aplica / mixto,Subcontrato,Electrónica / seguridad,alta,false,
148,Seguridad,Control acceso magnético puerta (inst.),unidad,Corrientes débiles y seguridad electrónica,Puertas,Obra nueva,No aplica / mixto,Suministro e instalación,Electrónica / seguridad,alta,false,
150,Hormigón Armado,Pilar H-25 armado (cualquier sección),m³,Hormigón y fundaciones,Hormigón estructural,Obra nueva,Hormigón armado,Suministro e instalación,Ingeniería estructural,alta,false,
151,Hormigón Armado,Pilar H-30 armado (cualquier sección),m³,Hormigón y fundaciones,Hormigón estructural,Obra nueva,Hormigón armado,Suministro e instalación,Ingeniería estructural,alta,false,
152,Hormigón Armado,Viga H-25 armada (cualquier sección),m³,Hormigón y fundaciones,Hormigón estructural,Obra nueva,Hormigón armado,Suministro e instalación,Ingeniería estructural,alta,false,
153,Hormigón Armado,Viga H-30 armada (cualquier sección),m³,Hormigón y fundaciones,Hormigón estructural,Obra nueva,Hormigón armado,Suministro e instalación,Ingeniería estructural,alta,false,
154,Hormigón Armado,Losa H-25 armada,m³,Hormigón y fundaciones,Hormigón estructural,Obra nueva,Hormigón armado,Suministro e instalación,Ingeniería estructural,alta,false,
155,Hormigón Armado,Losa H-30 armada,m³,Hormigón y fundaciones,Hormigón estructural,Obra nueva,Hormigón armado,Suministro e instalación,Ingeniería estructural,alta,false,
156,Hormigón Armado,Fundación corrida H-25 armada,m³,Hormigón y fundaciones,Hormigón estructural,Obra nueva,Hormigón armado,Suministro e instalación,Ingeniería estructural,alta,false,
157,Hormigón Armado,Zapata aislada H-25 armada,m³,Hormigón y fundaciones,Hormigón estructural,Obra nueva,Hormigón armado,Suministro e instalación,Ingeniería estructural,alta,false,
158,Hormigón Armado,Moldaje metálico pilar (arriendo+inst.),m²,Hormigón y fundaciones,Hormigón estructural,Obra nueva,Hormigón,Subcontrato,Ingeniería estructural,alta,false,
159,Hormigón Armado,Enfierradura habilitada y colocada,kg,Hormigón y fundaciones,Hormigón estructural,Obra nueva,Hormigón,Suministro e instalación,Ingeniería estructural,alta,false,
160,Sanitario,Cámara de inspección hormigón ø60cm,unidad,Alcantarillado y drenaje,Alcantarillado domiciliario,Obra nueva,Hormigón,Suministro e instalación,Ingeniería sanitaria,media,true,Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados).
161,Sanitario,Colector PVC ø110mm instalado,ml,Alcantarillado y drenaje,Alcantarillado domiciliario,Obra nueva,PVC,Suministro e instalación,Ingeniería sanitaria,media,true,Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados).
162,Sanitario,Colector PVC ø160mm instalado,ml,Alcantarillado y drenaje,Alcantarillado domiciliario,Obra nueva,PVC,Suministro e instalación,Ingeniería sanitaria,media,true,Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados).
163,Sanitario,Red alcantarillado vivienda completa,gl,Alcantarillado y drenaje,Alcantarillado domiciliario,Obra nueva,No aplica / mixto,Subcontrato,Ingeniería sanitaria,media,true,Rubro corregido respecto de la categoría actual original (ver DICCIONARIO_TAXONOMICO_ECP.json > overridesAplicados).
