catalogId,descripcion,rubroActual,subrubroActual,subrubroPropuesto,justificacion,confianza
193,"Escalera acero inoxidable piscina","Piscinas","Piscinas","Accesorios","Clasificación funcional según descripción","Alta"
195,"Canaleta perimetral piscina (drenaje)","Piscinas","Piscinas","Equipos y recirculación","Clasificación funcional según descripción","Alta"
196,"Quincho estructura madera (fabricación+inst.)","Obras exteriores y urbanización","Obras exteriores y urbanización","Estructuras de paisajismo","Clasificación funcional según descripción","Alta"
197,"Quincho estructura metálica (fabricación+inst.)","Obras exteriores y urbanización","Obras exteriores y urbanización","Estructuras de paisajismo","Clasificación funcional según descripción","Alta"
199,"Pérgola madera tratada (fabricación+inst.)","Obras exteriores y urbanización","Obras exteriores y urbanización","Estructuras de paisajismo","Clasificación funcional según descripción","Alta"
200,"Deck madera tratada exterior","Obras exteriores y urbanización","Obras exteriores y urbanización","Estructuras de paisajismo","Clasificación funcional según descripción","Alta"
201,"Deck composite (WPC) exterior","Obras exteriores y urbanización","Obras exteriores y urbanización","Estructuras de paisajismo","Clasificación funcional según descripción","Alta"
202,"Terraza hormigón pulido exterior","Obras exteriores y urbanización","Obras exteriores y urbanización","Estructuras de paisajismo","Clasificación funcional según descripción","Alta"
204,"Hormigón estampado/decorativo","Obras exteriores y urbanización","Obras exteriores y urbanización","Otros componentes","Clasificación funcional según descripción","Baja"
205,"Gravilla volcánica decorativa e=5cm","Obras exteriores y urbanización","Obras exteriores y urbanización","Terminaciones exteriores","Clasificación funcional según descripción","Alta"
213,"Nivelación y compactación terreno (máquina)","Movimiento de tierras","Movimiento de tierras","Rellenos y nivelación","Clasificación funcional según descripción","Alta"
214,"Revalses - solo mano de obra","Hormigón y fundaciones","Hormigón y fundaciones","Hormigón estructural","Clasificación funcional según descripción","Alta"
217,"Nivelación y compactación terreno - solo MO","Movimiento de tierras","Movimiento de tierras","Rellenos y nivelación","Clasificación funcional según descripción","Alta"
323,"Excavación manual de fundación hasta 0,80 m","Movimiento de tierras","Movimiento de tierras","Excavaciones","Clasificación funcional según descripción","Alta"
331,"Red húmeda interior completa por gabinete","Protección contra incendios","Protección contra incendios","Sistemas de agua (Redes)","Clasificación funcional según descripción","Alta"
332,"Extintor PQS 6 kg instalado y señalizado","Protección contra incendios","Protección contra incendios","Extintores portátiles","Clasificación funcional según descripción","Alta"
339,"Mesón de atención comercial laminado","Equipamiento y mobiliario","Equipamiento y mobiliario","Mobiliario a medida","Clasificación funcional según descripción","Alta"
344,"Sellado preventivo de juntas y fisuras exteriores","Mantención general","Mantención general","Mantención de fachadas","Clasificación funcional según descripción","Alta"
352,"Poste perfil acero 40x40x4 mm fabricado e instalado","Estructuras metálicas","Estructuras metálicas","Perfiles y arriostramientos","Clasificación funcional según descripción","Alta"
357,"Limpieza y perfilado final de franja de cierre","Obras exteriores y urbanización","Obras exteriores y urbanización","Cierres perimetrales","Clasificación funcional según descripción","Alta"
382,"Correa Metalcon omega 100x30mm e=0.85mm instalada","Estructuras metálicas","Estructuras metálicas","Perfiles y arriostramientos","Clasificación funcional según descripción","Alta"
383,"Correa Metalcon omega 100x30mm e=1.5mm reforzada instalada","Estructuras metálicas","Estructuras metálicas","Perfiles y arriostramientos","Clasificación funcional según descripción","Alta"
384,"Correa Metalcon C200x50mm e=2.0mm (techo de mayor luz) instalada","Estructuras metálicas","Estructuras metálicas","Perfiles y arriostramientos","Clasificación funcional según descripción","Alta"
387,"Perfil Z 150mm e=2.0mm instalado (correa o refuerzo)","Estructuras metálicas","Estructuras metálicas","Perfiles y arriostramientos","Clasificación funcional según descripción","Alta"
388,"Perfil angular acero 50x50x3mm instalado (arriostramiento)","Estructuras metálicas","Estructuras metálicas","Perfiles y arriostramientos","Clasificación funcional según descripción","Alta"
389,"Base de poste o columna metálica con placa y pernos de anclaje","Estructuras metálicas","Estructuras metálicas","Perfiles y arriostramientos","Clasificación funcional según descripción","Alta"
394,"Muro albañilería bloques 14cm (sin refuerzo)","Albañilería","Albañilería","Muros de albañilería","Clasificación funcional según descripción","Alta"
395,"Hormigón elaborado en obra (dosificación artesanal)","Hormigón y fundaciones","Hormigón y fundaciones","Otros componentes","Clasificación funcional según descripción","Baja"
399,"Instalación de cercha prefabricada pino 8m de luz","Construcción liviana","Construcción liviana","Otros componentes","Clasificación funcional según descripción","Baja"
400,"Entramado o refuerzo con polín pino 2x2"","Construcción liviana","Construcción liviana","Otros componentes","Clasificación funcional según descripción","Baja"
408,"Renovación de fragua en juntas de piso o revestimiento","Pisos y revestimientos","Pisos y revestimientos","Otros componentes","Clasificación funcional según descripción","Baja"
417,"Impermeabilización de muro bajo nivel con membrana deltaforce","Impermeabilización","Impermeabilización","Impermeabilización de muros","Clasificación funcional según descripción","Alta"
419,"Perfil de terminación de aluminio instalado","Puertas, ventanas y carpinterías","Puertas, ventanas y carpinterías","Otros componentes","Clasificación funcional según descripción","Baja"
421,"Impermeabilización de muro con manta drenante geodren","Impermeabilización","Impermeabilización","Impermeabilización de muros","Clasificación funcional según descripción","Alta"
422,"Cambio de ampolleta o foco LED","Instalaciones eléctricas","Instalaciones eléctricas","Iluminación","Clasificación funcional según descripción","Alta"
425,"Fijación con tornillo autorroscante en perfil metálico (por caja)","Estructuras metálicas","Estructuras metálicas","Perfiles y arriostramientos","Clasificación funcional según descripción","Alta"
426,"Entibación de excavación con plancha metálica","Movimiento de tierras","Movimiento de tierras","Excavaciones","Clasificación funcional según descripción","Alta"
427,"Poste HEB de acero para cierre o estructura exterior","Obras exteriores y urbanización","Obras exteriores y urbanización","Cierres perimetrales","Clasificación funcional según descripción","Alta"
429,"Refuerzo puntual con fierro corrugado 8mm","Hormigón y fundaciones","Hormigón y fundaciones","Otros componentes","Clasificación funcional según descripción","Baja"
430,"Instalación de estanque elevado 500L (base existente)","Instalaciones sanitarias","Instalaciones sanitarias","Sistemas de almacenamiento","Clasificación funcional según descripción","Alta"
